fighter,wc,tier_label,tier_weight,ever_champion,win_rate,n_rounds,cluster,distance_ratio,clinch_ratio,ground_ratio,head_ratio,body_ratio,leg_ratio,str_accuracy,td_per_round,td_accuracy,ctrl_per_round,sub_per_round,kd_per_round,output_per_round
Katlyn Cerminara,Women's Flyweight,C+,2.0,False,0.625,49,2,0.8695652173913043,0.07789855072463768,0.05253623188405797,0.6132246376811594,0.24365942028985507,0.1431159420289855,0.34947768281101615,0.10204081632653061,0.15625,23.26530612244898,0.10204081632653061,0.02040816326530612,64.46938775510205
Keita Nakamura,Welterweight,E,0.0,False,0.36363636363636365,32,0,0.7922848664688428,0.10979228486646884,0.09792284866468842,0.7922848664688428,0.14540059347181009,0.06231454005934718,0.3569915254237288,0.5625,0.5142857142857142,44.5,0.125,0.125,29.5
Keith Jardine,Light Heavyweight,E,0.0,False,0.46153846153846156,30,2,0.8438661710037175,0.11338289962825279,0.04275092936802974,0.5966542750929368,0.12825278810408922,0.275092936802974,0.3712905452035887,0.1,0.3333333333333333,10.833333333333334,0.0,0.1,48.3
Kelvin Gastelum,Middleweight,C+,2.0,False,0.5384615384615384,73,2,0.8526398739164697,0.08589440504334121,0.061465721040189124,0.6493301812450749,0.18360914105594955,0.16706067769897556,0.4237061769616027,0.3287671232876712,0.35294117647058826,38.83561643835616,0.0273972602739726,0.136986301369863,41.02739726027397
Ken Shamrock,Light Heavyweight,E,0.0,False,0.5,19,3,0.19658119658119658,0.23076923076923078,0.5726495726495726,0.6752136752136753,0.2564102564102564,0.06837606837606838,0.4105263157894737,0.3684210526315789,0.6363636363636364,2.0526315789473686,0.47368421052631576,0.05263157894736842,15.0
Kendall Grove,Middleweight,E,0.0,False,0.5384615384615384,27,1,0.3231939163498099,0.49049429657794674,0.18631178707224336,0.6197718631178707,0.2737642585551331,0.10646387832699619,0.44880546075085326,0.18518518518518517,0.625,40.81481481481482,0.6296296296296297,0.07407407407407407,21.703703703703702
Kennedy Nzechukwu,Light Heavyweight,D,1.0,False,0.5333333333333333,32,4,0.7564102564102564,0.12980769230769232,0.11378205128205128,0.8173076923076923,0.17307692307692307,0.009615384615384616,0.4964200477326969,0.15625,0.45454545454545453,45.03125,0.0625,0.09375,39.28125
Kenny Florian,Lightweight,E,0.0,False,0.7058823529411765,42,3,0.48237885462555063,0.17841409691629956,0.3392070484581498,0.6475770925110133,0.21585903083700442,0.13656387665198239,0.4,0.6190476190476191,0.32098765432098764,63.857142857142854,0.30952380952380953,0.023809523809523808,27.023809523809526
Kenny Robertson,Welterweight,E,0.0,False,0.4444444444444444,20,1,0.5902140672782875,0.19877675840978593,0.21100917431192662,0.6299694189602446,0.1559633027522936,0.21406727828746178,0.47050359712230216,0.4,0.26666666666666666,91.75,0.25,0.1,34.75
Ketlen Vieira,Women's Bantamweight,C+,2.0,False,0.6666666666666666,46,0,0.7777777777777778,0.15942028985507245,0.06280193236714976,0.7632850241545893,0.14170692431561996,0.09500805152979067,0.4016817593790427,0.43478260869565216,0.425531914893617,94.58695652173913,0.17391304347826086,0.0,33.608695652173914
Kevin Aguilar,Featherweight,E,0.0,False,0.3333333333333333,16,2,0.85,0.0875,0.0625,0.584375,0.35625,0.059375,0.38929440389294406,0.0625,0.16666666666666666,20.125,0.0,0.0625,51.375
Kevin Casey,Middleweight,E,0.0,False,0.14285714285714285,15,1,0.5235294117647059,0.11764705882352941,0.3588235294117647,0.6058823529411764,0.2235294117647059,0.17058823529411765,0.5466237942122186,0.2,0.21428571428571427,73.73333333333333,0.13333333333333333,0.06666666666666667,20.733333333333334
Kevin Holland,Middleweight,D+,0.0,False,0.5517241379310345,70,2,0.7468944099378882,0.1343167701863354,0.1187888198757764,0.546583850931677,0.18788819875776397,0.265527950310559,0.5025360905189231,0.24285714285714285,0.3953488372093023,34.94285714285714,0.18571428571428572,0.1,36.614285714285714
Kevin Lee,Lightweight,C,0.0,False,0.5789473684210527,48,3,0.5931198102016607,0.08659549228944247,0.3202846975088968,0.7746144721233689,0.19691577698695137,0.028469750889679714,0.42255639097744363,0.9583333333333334,0.4339622641509434,111.91666666666667,0.22916666666666666,0.020833333333333332,41.5625
Kevin Randleman,Light Heavyweight,B+,4.0,True,0.5714285714285714,22,3,0.18556701030927836,0.10309278350515463,0.711340206185567,0.9175257731958762,0.07216494845360824,0.010309278350515464,0.3688212927756654,0.9545454545454546,0.7,118.72727272727273,0.22727272727272727,0.0,11.954545454545455
Khabib Nurmagomedov,Lightweight,A,6.0,True,1.0,38,3,0.4226950354609929,0.03829787234042553,0.5390070921985816,0.8567375886524823,0.09219858156028368,0.05106382978723404,0.48822714681440443,1.605263157894737,0.48031496062992124,149.5,0.23684210526315788,0.05263157894736842,38.0
Khalil Rountree Jr.,Light Heavyweight,C,0.0,False,0.5555555555555556,41,4,0.9073529411764706,0.052941176470588235,0.039705882352941174,0.5514705882352942,0.23823529411764705,0.21029411764705883,0.4064554692169755,0.0,0.5,4.658536585365853,0.024390243902439025,0.34146341463414637,40.80487804878049
